id,isResult,side,h,a,goals,xG,datetime,forecast,result,season
18207,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '4', 'a': '1'}","{'h': '1.6172', 'a': '0.386546'}",2022-08-06 14:00:00,"{'w': 0.6825560297618168, 'd': 0.23323766189893227, 'l': 0.08420630811091324}",w,2022
18220,True,a,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '2', 'a': '2'}","{'h': '1.83945', 'a': '1.58708'}",2022-08-14 15:30:00,"{'w': 0.4402952698360696, 'd': 0.22370185022885655, 'l': 0.33600287847685756}",d,2022
18222,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '1', 'a': '0'}","{'h': '1.46608', 'a': '0.686123'}",2022-08-20 11:30:00,"{'w': 0.5595148713648143, 'd': 0.2660454848945821, 'l': 0.17443964368025705}",w,2022
18241,True,a,"{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '0', 'a': '2'}","{'h': '0.801369', 'a': '2.44473'}",2022-08-28 15:30:00,"{'w': 0.10294939277168882, 'd': 0.1617462176132349, 'l': 0.7353043375619641}",w,2022
18249,True,a,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '1', 'a': '1'}","{'h': '1.52267', 'a': '0.723285'}",2022-08-31 18:45:00,"{'w': 0.5643353376110865, 'd': 0.25867463596595125, 'l': 0.176990026321928}",d,2022
18255,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': '2', 'a': '1'}","{'h': '2.67823', 'a': '0.381556'}",2022-09-03 14:00:00,"{'w': 0.857370055909175, 'd': 0.10854842500553015, 'l': 0.034081354401264995}",w,2022
18278,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '6', 'a': '2'}","{'h': '1.98619', 'a': '1.59449'}",2022-09-17 16:30:00,"{'w': 0.47106202889833343, 'd': 0.2160438792963383, 'l': 0.31289408808251146}",w,2022
18282,True,a,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '3', 'a': '1'}","{'h': '2.48403', 'a': '1.5027'}",2022-10-01 11:30:00,"{'w': 0.5905334891814191, 'd': 0.18660253542028543, 'l': 0.22286391156111154}",l,2022
18294,True,a,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '0', 'a': '1'}","{'h': '0.899735', 'a': '0.771641'}",2022-10-08 16:30:00,"{'w': 0.36452193378830144, 'd': 0.3429819725146122, 'l': 0.2924960936970109}",w,2022
18310,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '2', 'a': '0'}","{'h': '2.49409', 'a': '0.560039'}",2022-10-15 16:30:00,"{'w': 0.7966421680823382, 'd': 0.13994592117293395, 'l': 0.06341184363665575}",w,2022
18321,True,a,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '2', 'a': '0'}","{'h': '1.70973', 'a': '0.658526'}",2022-10-19 19:15:00,"{'w': 0.6277262906996615, 'd': 0.23274074401069364, 'l': 0.13953296480701827}",l,2022
18329,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '1', 'a': '2'}","{'h': '1.56513', 'a': '1.1294'}",2022-10-23 15:30:00,"{'w': 0.47400509520346873, 'd': 0.2514058135934858, 'l': 0.27458909105469115}",l,2022
18333,True,a,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '2', 'a': '3'}","{'h': '0.887533', 'a': '2.1946'}",2022-10-29 14:00:00,"{'w': 0.1391441350093511, 'd': 0.18934090801126804, 'l': 0.6715149439723193}",w,2022
18349,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '1', 'a': '2'}","{'h': '1.81736', 'a': '1.46548'}",2022-11-06 16:30:00,"{'w': 0.46030185131950674, 'd': 0.22733345284959858, 'l': 0.3123646946799454}",l,2022
18359,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'h': '4', 'a': '3'}","{'h': '2.58046', 'a': '1.71731'}",2022-11-12 15:00:00,"{'w': 0.5652147611255647, 'd': 0.18443346816416398, 'l': 0.25035166697966116}",w,2022
18364,True,a,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '2', 'a': '2'}","{'h': '2.25263', 'a': '0.883787'}",2022-12-26 12:30:00,"{'w': 0.6832199424208061, 'd': 0.18376362288280176, 'l': 0.13301641646645732}",d,2022
18379,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '0', 'a': '2'}","{'h': '0.569383', 'a': '1.21733'}",2023-01-01 14:00:00,"{'w': 0.1735297971146065, 'd': 0.305352936200325, 'l': 0.5211172666803898}",l,2022
18386,True,a,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '0', 'a': '4'}","{'h': '0.787525', 'a': '1.66514'}",2023-01-04 20:00:00,"{'w': 0.17522465808298057, 'd': 0.2417788531451758, 'l': 0.582996488433386}",w,2022
18400,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '0', 'a': '2'}","{'h': '1.71032', 'a': '2.04232'}",2023-01-15 16:30:00,"{'w': 0.3284416977667181, 'd': 0.21170010581148593, 'l': 0.4598581908416637}",l,2022
18267,True,a,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '4', 'a': '2'}","{'h': '2.34166', 'a': '1.16499'}",2023-01-19 19:00:00,"{'w': 0.635888316853669, 'd': 0.18778122076627382, 'l': 0.1763304323590328}",l,2022
18405,True,a,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '0', 'a': '1'}","{'h': '1.09339', 'a': '0.993805'}",2023-01-23 20:00:00,"{'w': 0.37553209903761914, 'd': 0.30015969933799164, 'l': 0.3243082016230652}",w,2022
18420,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '1', 'a': '0'}","{'h': '1.42168', 'a': '0.773747'}",2023-02-05 16:30:00,"{'w': 0.524141512911322, 'd': 0.2718397324020846, 'l': 0.2040187546469323}",w,2022
18427,True,a,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '4', 'a': '1'}","{'h': '1.41208', 'a': '1.11709'}",2023-02-11 15:00:00,"{'w': 0.43734242998950335, 'd': 0.26468520592929323, 'l': 0.2979723640436446}",l,2022
18440,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '2', 'a': '0'}","{'h': '1.43042', 'a': '0.365173'}",2023-02-19 16:30:00,"{'w': 0.6425291464820568, 'd': 0.26475881093820447, 'l': 0.09271204253662066}",w,2022
18450,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '2', 'a': '0'}","{'h': '0.926313', 'a': '0.262281'}",2023-02-26 13:30:00,"{'w': 0.5143116916953944, 'd': 0.3832839947931001, 'l': 0.10240431351140376}",w,2022
18461,True,a,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '1', 'a': '0'}","{'h': '0.562477', 'a': '1.25588'}",2023-03-04 15:00:00,"{'w': 0.16643179045290565, 'd': 0.2988434456022012, 'l': 0.5347247639376886}",l,2022
18470,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'h': '3', 'a': '1'}","{'h': '1.73482', 'a': '1.62805'}",2023-03-11 15:00:00,"{'w': 0.4085400050680257, 'd': 0.2275040167364931, 'l': 0.3639559773589546}",w,2022
18480,True,a,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '3', 'a': '3'}","{'h': '2.52077', 'a': '1.88473'}",2023-03-18 15:00:00,"{'w': 0.5215626240190098, 'd': 0.18864253786460944, 'l': 0.2897947595508543}",d,2022
18487,True,a,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '1', 'a': '1'}","{'h': '0.823365', 'a': '1.39177'}",2023-04-03 19:00:00,"{'w': 0.2220015278001831, 'd': 0.27493824781766796, 'l': 0.5030602243524903}",d,2022
18500,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '2', 'a': '1'}","{'h': '0.594139', 'a': '1.47549'}",2023-04-08 14:00:00,"{'w': 0.1489383039824044, 'd': 0.2636430626457789, 'l': 0.5874186333059743}",w,2022
18509,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '2', 'a': '3'}","{'h': '2.30604', 'a': '1.20598'}",2023-04-15 14:00:00,"{'w': 0.6200740997649852, 'd': 0.19180155095584867, 'l': 0.18812432462050904}",l,2022
18521,True,a,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '6', 'a': '1'}","{'h': '3.98532', 'a': '0.883001'}",2023-04-23 13:00:00,"{'w': 0.8906670168914388, 'd': 0.07019961301090827, 'l': 0.039114251240267}",l,2022
18525,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '2', 'a': '2'}","{'h': '2.37239', 'a': '1.96508'}",2023-04-27 19:15:00,"{'w': 0.47788042116787255, 'd': 0.19479679394042487, 'l': 0.32732274634536895}",d,2022
18539,True,a,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '4', 'a': '3'}","{'h': '2.42911', 'a': '1.44927'}",2023-04-30 15:30:00,"{'w': 0.5912970074762225, 'd': 0.1890323424196337, 'l': 0.2196706020807853}",l,2022
18549,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '1', 'a': '0'}","{'h': '1.15665', 'a': '0.306669'}",2023-05-06 14:00:00,"{'w': 0.5809744676543107, 'd': 0.32114411946043625, 'l': 0.0978814128829533}",w,2022
18553,True,a,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '2', 'a': '1'}","{'h': '1.79987', 'a': '1.18505'}",2023-05-13 14:00:00,"{'w': 0.5178086414105957, 'd': 0.23144005187238376, 'l': 0.25075130575467836}",l,2022
18569,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '1', 'a': '3'}","{'h': '1.61667', 'a': '1.15344'}",2023-05-20 11:30:00,"{'w': 0.48129423161614265, 'd': 0.24666022147628924, 'l': 0.2720455466780257}",l,2022
18578,True,a,"{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '1', 'a': '4'}","{'h': '1.19151', 'a': '2.03315'}",2023-05-28 15:30:00,"{'w': 0.21907135425789684, 'd': 0.2127886059904326, 'l': 0.568140034944736}",w,2022
22282,True,a,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '2', 'a': '2'}","{'h': '1.90756', 'a': '1.45316'}",2023-08-13 13:00:00,"{'w': 0.48317029047913296, 'd': 0.222125853046722, 'l': 0.2947038543461759}",d,2023
22290,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '2', 'a': '0'}","{'h': '2.53904', 'a': '2.44604'}",2023-08-19 16:30:00,"{'w': 0.42433272490702917, 'd': 0.18369111205094626, 'l': 0.39197602648795243}",w,2023
22296,True,a,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '0', 'a': '2'}","{'h': '0.483582', 'a': '2.26115'}",2023-08-26 11:30:00,"{'w': 0.06390005906232832, 'd': 0.15624683885633314, 'l': 0.7798530829414299}",w,2023
21929,True,a,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '2', 'a': '5'}","{'h': '1.66604', 'a': '2.39785'}",2023-09-02 14:00:00,"{'w': 0.26534876704642896, 'd': 0.19376412494655476, 'l': 0.5408870670022656}",w,2023
21936,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'h': '2', 'a': '1'}","{'h': '2.15909', 'a': '0.790655'}",2023-09-16 14:00:00,"{'w': 0.687939624510142, 'd': 0.18792793865878635, 'l': 0.12413242630570803}",w,2023
21952,True,a,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '2', 'a': '2'}","{'h': '2.3429', 'a': '2.21166'}",2023-09-24 13:00:00,"{'w': 0.4275041275919549, 'd': 0.1926212932787614, 'l': 0.3798745345269451}",d,2023
21962,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '2', 'a': '1'}","{'h': '2.18823', 'a': '1.12299'}",2023-09-30 16:30:00,"{'w': 0.6156636285427267, 'd': 0.1987409044293865, 'l': 0.18559545450039056}",w,2023
21971,True,a,"{'id': '256', 'title': 'Luton', 'short_title': 'LUT'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '0', 'a': '1'}","{'h': '0.848118', 'a': '2.37947'}",2023-10-07 11:30:00,"{'w': 0.11575648857120416, 'd': 0.1703407039419404, 'l': 0.7139027706322937}",w,2023
21984,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': '2', 'a': '0'}","{'h': '1.63523', 'a': '0.745838'}",2023-10-23 19:00:00,"{'w': 0.5866513266848356, 'd': 0.24461917142801878, 'l': 0.168729501621979}",w,2023
